scenario,planner,seed,steps,duration_s,planning_safety_margin_m,mean_snr_db,min_snr_db,mean_outage_probability,mean_ber_model,mean_goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,min_static_obstacle_clearance_m,static_clearance_violation_steps,static_clearance_violation_indicator,collision_indicator,collision_steps,first_collision_step,first_collision_time_s,no_candidate_steps,first_no_candidate_step,margin_relaxation_steps,margin_relaxation_indicator,first_margin_relaxation_step,zero_candidate_after_static_steps,zero_candidate_after_dynamic_steps,candidate_evaluations,candidate_road_rejections,candidate_speed_rejections,candidate_static_rejections,candidate_dynamic_rejections,candidate_feasible,prediction_ade_m,prediction_fde_m,measured_optical_link
following_lateral_offset,P2,15012,40,4.0,0.5,15.379315503384982,-1.3274632108794684,0.1182882823045682,0.015778064012365412,984221935.9876347,37.27,37.26951087329703,3.081046549727915,0.7160142262850631,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,23,0,0,2782,3275,1.59936882192798,3.7844504347352057,False
following_lateral_offset,P3,15012,40,4.0,0.5,15.379315503384982,-1.3274632108794684,0.1182882823045682,0.015778064012365412,984221935.9876347,37.27,37.26951087329703,3.081046549727915,0.7160142262850631,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,23,0,0,2782,3275,1.59936882192798,3.7844504347352057,False
following_lateral_offset,P4,15012,40,4.0,0.5,19.117623345164382,16.137508032910766,0.005823562125032516,2.0985470945021147e-20,1000000000.0,36.223333333333336,36.2065885671417,3.891151379358278,1.351877070026177,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,583,0,0,2204,3293,1.59936882192798,3.7844504347352057,False
following_lateral_offset,P0,15013,40,4.0,0.5,14.476138521152132,-10.927734952336031,0.15370093787745662,0.03220898544038664,967791014.5596135,37.59999999999999,37.59999999999999,2.7784887978899717,0.5114285864691801,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2801,3279,1.766201502272724,3.9559436272319433,False
following_lateral_offset,P1,15013,40,4.0,0.5,14.476138521152132,-10.927734952336031,0.15370093787745662,0.03220898544038664,967791014.5596135,37.59999999999999,37.59999999999999,2.7784887978899717,0.5114285864691801,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2801,3279,1.766201502272724,3.9559436272319433,False
following_lateral_offset,P2,15013,40,4.0,0.5,15.972037576754037,7.434297105083427,0.07721627432922337,7.27262750915019e-05,999927273.7249085,37.509999999999984,37.50407970476456,2.7745560015330906,0.565489049246325,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,175,0,0,2641,3264,1.766201502272724,3.9559436272319433,False
following_lateral_offset,P3,15013,40,4.0,0.5,15.374571142947378,0.5699394382841803,0.13106667264522126,0.00700208223297088,992997917.7670292,37.539999999999985,37.53820572170165,2.780397101931219,0.5218103864694957,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,93,0,0,2711,3276,1.766201502272724,3.9559436272319433,False
following_lateral_offset,P4,15013,40,4.0,0.5,15.374571142947378,0.5699394382841803,0.13106667264522126,0.00700208223297088,992997917.7670292,37.539999999999985,37.53820572170165,2.780397101931219,0.5218103864694957,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,93,0,0,2711,3276,1.766201502272724,3.9559436272319433,False
following_lateral_offset,P0,15014,40,4.0,0.5,13.777245312321346,-27.59708496475681,0.1427875619982657,0.03716352826504729,962836471.7349527,37.599999999999994,37.59756361268156,2.824045312289198,0.604183683675515,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,75,0,0,2840,3165,1.6227211704508258,3.8131753024748334,False
following_lateral_offset,P1,15014,40,4.0,0.5,13.777245312321346,-27.59708496475681,0.1427875619982657,0.03716352826504729,962836471.7349527,37.599999999999994,37.59756361268156,2.824045312289198,0.604183683675515,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,75,0,0,2840,3165,1.6227211704508258,3.8131753024748334,False
following_lateral_offset,P2,15014,40,4.0,0.5,17.441045208284113,13.683485809154151,0.012093807896911753,9.151821800344944e-13,999999999.9990848,36.99999999999999,36.98890347338757,3.1966655479976787,0.8540262930403507,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,337,0,0,2464,3279,1.6227211704508258,3.8131753024748334,False
following_lateral_offset,P3,15014,40,4.0,0.5,16.355093560744535,3.6704718596562103,0.0544103663003197,0.001220702409409272,998779297.5905907,37.209999999999994,37.207108273562646,3.046477143783542,0.7572443109377445,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,169,0,0,2603,3308,1.6227211704508258,3.8131753024748334,False
following_lateral_offset,P4,15014,40,4.0,0.5,14.656492025035572,-15.918580896156612,0.13597860234105738,0.027085939322934842,972914060.6770653,37.59999999999998,37.59953037605793,2.7657578931297,0.5549998245805695,inf,0,0,0,0,-1,inf,0,-1,1,1,39,0,0,6080,23,0,0,2883,3174,1.6227211704508258,3.8131753024748334,False
following_lateral_offset,P0,15015,40,4.0,0.5,15.69681995602057,0.7084007890395476,0.10893012295775244,0.006188042872799997,993811957.1271999,37.01,37.01,3.3015299483724223,0.9526857257165728,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2638,3442,1.7795284872409582,3.965218208658702,False
following_lateral_offset,P1,15015,40,4.0,0.5,15.69681995602057,0.7084007890395476,0.10893012295775244,0.006188042872799997,993811957.1271999,37.01,37.01,3.3015299483724223,0.9526857257165728,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2638,3442,1.7795284872409582,3.965218208658702,False
following_lateral_offset,P2,15015,40,4.0,0.5,16.023676144503224,2.5221826015522417,0.08711565950061587,0.0029460598700342126,997053940.1299658,36.98,36.97906353818825,3.30936493052455,0.9098436583471327,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,51,0,0,2590,3439,1.7795284872409582,3.965218208658702,False
following_lateral_offset,P3,15015,40,4.0,0.5,16.71651267761656,10.803208342121227,0.027243351422358265,9.540080038067335e-08,999999904.5991997,36.93000000000001,36.92751772085263,3.3151461566493987,0.9006144925625499,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,142,0,0,2503,3435,1.7795284872409582,3.965218208658702,False
following_lateral_offset,P4,15015,40,4.0,0.5,16.800220406027726,11.561178993720297,0.023345613351411495,1.001773048602415e-08,999999989.9822695,36.849999999999994,36.84750281801178,3.3895032074181044,0.9329795078309353,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,142,0,0,2498,3440,1.7795284872409582,3.965218208658702,False
following_lateral_offset,P0,15016,40,4.0,0.5,14.645432913418778,-7.973422517544769,0.15464907041205891,0.025614167559487106,974385832.4405129,37.480000000000025,37.480000000000025,2.8827764394763378,0.6198639591863871,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2691,3389,1.8109798780404769,4.01727152529453,False
following_lateral_offset,P1,15016,40,4.0,0.5,14.645432913418778,-7.973422517544769,0.15464907041205891,0.025614167559487106,974385832.4405129,37.480000000000025,37.480000000000025,2.8827764394763378,0.6198639591863871,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2691,3389,1.8109798780404769,4.01727152529453,False
following_lateral_offset,P2,15016,40,4.0,0.5,16.5213824789006,9.337129385329874,0.03641879322644453,2.585748361322241e-06,999997414.2516388,37.310000000000024,37.30680201807766,2.9465517106329857,0.6858348987832149,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,195,0,0,2487,3398,1.8109798780404769,4.01727152529453,False
following_lateral_offset,P3,15016,40,4.0,0.5,15.515770579871788,0.5097371724535549,0.12362383874778496,0.00841727422879776,991582725.7712021,37.36000000000003,37.35867158136938,2.9596204707924803,0.6406731656909473,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,85,0,0,2586,3409,1.8109798780404769,4.01727152529453,False
following_lateral_offset,P4,15016,40,4.0,0.5,16.114520889107006,2.625406710331035,0.06507737510317692,0.0020126274955533483,997987372.5044467,37.31000000000001,37.307006999630175,2.9549875029241046,0.6908886359444505,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,165,0,0,2510,3405,1.8109798780404769,4.01727152529453,False
following_lateral_offset,P0,15017,40,4.0,0.5,14.153349305080898,-10.154428846979275,0.17652453933821538,0.03407601189275534,965923988.1072447,37.56999999999998,37.56999999999998,2.8044429036798206,0.5892437142890892,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2882,3198,1.6497324450352906,3.8604211648494995,False
following_lateral_offset,P1,15017,40,4.0,0.5,14.153349305080898,-10.154428846979275,0.17652453933821538,0.03407601189275534,965923988.1072447,37.56999999999998,37.56999999999998,2.8044429036798206,0.5892437142890892,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2882,3198,1.6497324450352906,3.8604211648494995,False
following_lateral_offset,P2,15017,40,4.0,0.5,16.370009225930467,8.630390806172255,0.04724188829503244,1.0838185227800476e-05,999989161.8147722,37.31999999999997,37.3165424161241,2.9300044418675633,0.7750260929459887,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,217,0,0,2658,3205,1.6497324450352906,3.8604211648494995,False
following_lateral_offset,P3,15017,40,4.0,0.5,15.280315853675114,-3.222450182275203,0.13224831780323262,0.014946181095944474,985053818.9040556,37.399999999999984,37.39826429668097,2.91553125401036,0.6607870214898002,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,109,0,0,2763,3208,1.6497324450352906,3.8604211648494995,False
following_lateral_offset,P4,15017,40,4.0,0.5,15.61173066581953,5.031151158310635,0.10714455620686478,0.0008347202311729323,999165279.7688271,37.41666666666665,37.41397839398091,2.8689414735867294,0.7084066949485306,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,141,0,0,2733,3206,1.6497324450352906,3.8604211648494995,False
following_lateral_offset,P0,15018,40,4.0,0.5,13.440462849033327,-21.496971888858926,0.17204898318575937,0.04392186457480045,956078135.4251995,37.64999999999999,37.64898286182401,2.765148320336212,0.664415597405199,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,46,0,0,3009,3025,1.7498627482627356,3.9444650579306924,False
following_lateral_offset,P1,15018,40,4.0,0.5,13.440462849033327,-21.496971888858926,0.17204898318575937,0.04392186457480045,956078135.4251995,37.64999999999999,37.64898286182401,2.765148320336212,0.664415597405199,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,46,0,0,3009,3025,1.7498627482627356,3.9444650579306924,False
following_lateral_offset,P2,15018,40,4.0,0.5,17.15037038521207,12.440143837265285,0.01608190118021448,3.923534624503446e-10,999999999.6076466,37.289999999999985,37.279819096861786,2.9170681961757636,0.7715715297706731,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,357,0,0,2618,3105,1.7498627482627356,3.9444650579306924,False
following_lateral_offset,P3,15018,40,4.0,0.5,16.04533730102205,2.472019241479135,0.07176505284401254,0.0021546578850041723,997845342.1149957,37.31999999999999,37.31692021574542,2.9395532733695244,0.8123974760550968,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,191,0,0,2749,3140,1.7498627482627356,3.9444650579306924,False
following_lateral_offset,P4,15018,40,4.0,0.5,13.440462849033327,-21.496971888858926,0.17204898318575937,0.04392186457480045,956078135.4251995,37.64999999999999,37.64898286182401,2.765148320336212,0.664415597405199,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,46,0,0,3009,3025,1.7498627482627356,3.9444650579306924,False
following_lateral_offset,P0,15019,40,4.0,0.5,14.992539085851444,-3.225323767587639,0.14495401256644144,0.017600221191625957,982399778.808374,37.25000000000002,37.25000000000002,3.0858548248418756,0.8737362747274657,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2725,3355,1.7486208977068478,4.010405597993836,False
following_lateral_offset,P1,15019,40,4.0,0.5,14.992539085851444,-3.225323767587639,0.14495401256644144,0.017600221191625957,982399778.808374,37.25000000000002,37.25000000000002,3.0858548248418756,0.8737362747274657,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2725,3355,1.7486208977068478,4.010405597993836,False
following_lateral_offset,P2,15019,40,4.0,0.5,16.027672066246517,6.54904612489856,0.07939674192660369,0.00019892467469544245,999801075.3253046,37.22,37.217839921011546,3.060595436562061,0.8095738595110774,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,120,0,0,2622,3338,1.7486208977068478,4.010405597993836,False
following_lateral_offset,P3,15019,40,4.0,0.5,16.53850815170626,10.339476860434907,0.03278863521331892,3.0714403976317697e-07,999999692.8559601,37.059999999999995,37.057070793598974,3.1859230663303433,0.9307850983106971,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,164,0,0,2568,3348,1.7486208977068478,4.010405597993836,False
following_lateral_offset,P4,15019,40,4.0,0.5,18.977121486244506,16.13407088197926,0.006005755652525045,3.9440245180844273e-20,1000000000.0,36.64000000000003,36.62357075198285,3.48694933508985,1.1839261635124199,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,581,0,0,2225,3274,1.7486208977068478,4.010405597993836,False
lane_choice,P0,15000,40,4.0,0.5,-1.4841772517946121,-13.800125353527465,0.7112488585418857,0.27149979741639463,728500202.5836054,12.99999999999999,12.882786325056207,16.782438462261936,inf,1.5013499953110632,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1879,0,1762,0,2439,1.649674481586056,3.9807249007015764,False
lane_choice,P1,15000,40,4.0,0.5,11.415283391778742,7.917465961148334,0.19749853001493048,9.757018575009277e-05,999902429.81425,12.999999999999991,12.91210617836171,16.755131274768452,6.1060366622275195,1.5001885304115121,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1784,0,1780,0,2516,1.649674481586056,3.9807249007015764,False
lane_choice,P2,15000,40,4.0,0.5,12.008701804632036,8.229738049872287,0.15881413145339823,3.739474708985757e-05,999962605.2529103,12.999999999999991,12.904499009576284,16.74847084715829,6.1060366622275195,1.5001177930900464,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1612,0,1861,0,2607,1.649674481586056,3.9807249007015764,False
lane_choice,P3,15000,40,4.0,0.5,11.415283391778742,7.917465961148334,0.19749853001493048,9.757018575009277e-05,999902429.81425,12.999999999999991,12.91210617836171,16.755131274768452,6.1060366622275195,1.5001885304115121,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1784,0,1780,0,2516,1.649674481586056,3.9807249007015764,False
lane_choice,P4,15000,40,4.0,0.5,12.011930681626641,8.339167020023577,0.15681014940403565,3.197086409443261e-05,999968029.1359055,12.99999999999999,12.903358507552323,16.74847084715829,6.1060366622275195,1.508038196389593,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1616,0,1788,0,2676,1.649674481586056,3.9807249007015764,False
lane_choice,P0,15001,40,4.0,0.5,-1.4841772517946121,-13.800125353527465,0.7112488585418857,0.27149979741639463,728500202.5836054,12.99999999999999,12.882786325056207,16.782438462261936,inf,1.5013499953110632,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1879,0,1762,0,2439,1.8292554926996782,4.262830557993312,False
lane_choice,P1,15001,40,4.0,0.5,11.415283391778742,7.917465961148334,0.19749853001493048,9.757018575009277e-05,999902429.81425,12.999999999999991,12.91210617836171,16.755131274768452,6.1060366622275195,1.5001885304115121,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1784,0,1780,0,2516,1.8292554926996782,4.262830557993312,False
lane_choice,P2,15001,40,4.0,0.5,12.011930681626641,8.339167020023577,0.15681014940403565,3.197086409443261e-05,999968029.1359055,12.99999999999999,12.903358507552323,16.74847084715829,6.1060366622275195,1.508038196389593,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1616,0,1788,0,2676,1.8292554926996782,4.262830557993312,False
lane_choice,P3,15001,40,4.0,0.5,12.076728932495755,9.263228055490746,0.13843144961890505,8.18915618597111e-06,999991810.8438139,12.99999999999999,12.911716648644994,16.757163456939804,6.1060366622275195,1.5028868179940864,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1729,0,1751,0,2600,1.8292554926996782,4.262830557993312,False
lane_choice,P4,15001,40,4.0,0.5,12.011930681626641,8.339167020023577,0.15681014940403565,3.197086409443261e-05,999968029.1359055,12.99999999999999,12.903358507552323,16.74847084715829,6.1060366622275195,1.508038196389593,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1616,0,1788,0,2676,1.8292554926996782,4.262830557993312,False
lane_choice,P0,15002,40,4.0,0.5,-1.4841772517946121,-13.800125353527465,0.7112488585418857,0.27149979741639463,728500202.5836054,12.99999999999999,12.882786325056207,16.782438462261936,inf,1.5013499953110632,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1879,0,1762,0,2439,2.008957958564018,4.630339818696669,False
lane_choice,P1,15002,40,4.0,0.5,11.415283391778742,7.917465961148334,0.19749853001493048,9.757018575009277e-05,999902429.81425,12.999999999999991,12.91210617836171,16.755131274768452,6.1060366622275195,1.5001885304115121,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1784,0,1780,0,2516,2.008957958564018,4.630339818696669,False
lane_choice,P2,15002,40,4.0,0.5,12.011930681626641,8.339167020023577,0.15681014940403565,3.197086409443261e-05,999968029.1359055,12.99999999999999,12.903358507552323,16.74847084715829,6.1060366622275195,1.508038196389593,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1616,0,1788,0,2676,2.008957958564018,4.630339818696669,False
lane_choice,P3,15002,40,4.0,0.5,11.745317892373032,8.685339274074892,0.16510820070869772,2.59492303891247e-05,999974050.769611,12.999999999999996,12.910190221619104,16.75414086214862,6.1060366622275195,1.5000540543503091,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1704,0,1816,0,2560,2.008957958564018,4.630339818696669,False
lane_choice,P4,15002,40,4.0,0.5,12.011930681626641,8.339167020023577,0.15681014940403565,3.197086409443261e-05,999968029.1359055,12.99999999999999,12.903358507552323,16.74847084715829,6.1060366622275195,1.508038196389593,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,1616,0,1788,0,2676,2.008957958564018,4.630339818696669,False
